10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 casilleros;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Ranged attack strider. Can use Phase Blink and Phasing Armor.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>;Шагающий робот дальнего боя. Может использовать способности «Фазовый скачок» и «Фазовая броня».<n/><n/><c val="ffff8a">Атакует наземные и воздушные цели.</c>;Unterstützungsfernkämpfer. Kann die Fähigkeiten "Phasenteleport" und "Phasenpanzerung" einsetzen.<n/><n/><c val="ffff8a">Kann Boden- und Lufteinheiten angreifen.</c>;Zancudo de apoyo a distancia. Puede usar traslación de fase y armadura de fase.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>;Zancudo de ataque a distancia. Puede usar Parpadeo fásico y Armadura fásica.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>;Unité d’attaque à distance. Peut utiliser Transfert de phase et Armure phasique.<n/><n/><c val="ffff8a">Peut attaquer les unités terrestres et aériennes.</c>;Camminatore da assalto da distanza. Può usare Traslazione fasica e Corazza fasica.<n/><n/><c val="ffff8a">Può attaccare unità aeree e terrestri.</c>;원거리 공격 능력을 갖춘 4족 보행 유닛입니다. 위상 점멸 및 위상 장갑을 사용할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>;Krocząca maszyna bojowa atakująca z dystansu. Potrafi korzystać z mignięcia fazowego i pancerza fazowego.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne i powietrzne.</c>;Agressor andarilho de longo alcance. Usa Translação Fásica e Armadura Fásica.<n/><n/><c val="ffff8a">Ataca unidades aéreas e terrestres.</c>;远程步战机甲。可以使用相位闪现和相位护甲。<n/><n/><c val="ffff8a">可以对空和对地。</c>;遠程步行機甲。可使用相位閃現和相位裝甲。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
Warp In Slayer;Вызвать палача;Henker heranwarpen;Invocar exterminador;Transposicionar Exterminador;Transférer un Tueur;Evoca Carnefice;학살자 소환;Przyzwij pogromcę;Transdobrar Exterminador;折跃杀戮者;躍傳屠敵者
Ascendant Archives;Архивы посвященных;Aspirantenarchiv;Archivos de los ascendientes;Archivos de los ascendientes;Archive des aspirants;Archivio degli Ascendenti;승천자 기록보관소;Archiwa wyniesionych;Arquivos do Ascendente;晋升者文献馆;飛升文庫
Death Council;Совет смерти;Todeskonzil;Consejo de la muerte;Concilio de la muerte;Conseil sépulcral;Concilio della Morte;죽음의 의회;Rada śmierci;Concílio da Morte;死亡议会;死亡議會
Warp In Death Council;Вызвать Совет смерти;Todeskonzil heranwarpen;Invocar consejo de la muerte;Transposicionar Concilio de la muerte;Transférer un Conseil sépulcral;Evoca Concilio della Morte;죽음의 의회 소환;Przyzwij radę śmierci;Transdobrar Concílio da Morte;折跃死亡议会;躍傳死亡議會
Warp In Ascendent Archives;Вызвать архивы посвященных;Aspirantenarchiv heranwarpen;Invocar archivos de los ascendientes;Transposicionar Archivos de los ascendientes;Transférer une archive des aspirants;Evoca Archivio degli Ascendenti;승천자 기록보관소 소환;Przyzwij archiwa wyniesionych;Transdobrar Arquivos do Ascendente;折跃晋升者文献馆;躍傳飛升文庫
AC Hero Spawn Placement;Генерация героя – размещение – автоприменение;Verbündete Kommandanten - Held, erschaffen - Platzierung;Situación de aparición de héroe de CA;CA - Aparición de héroe - Ubicación;Placement d’apparition de héros CA;CA - Posizione generazione eroe;동맹 사령관 영웅 생성 배치;SD Bohater, Powicie, Rozmieszczenie;AC Posicionamento de geração de herói;AC Hero Spawn Placement;合作任務英雄生成放置
Pirate Capital Ship;Флагманский корабль пиратов;Großkampfschiff der Piraten;Buque insignia pirata;Nave pirata principal;Vaisseau amiral pirate;Nave ammiraglia dei pirati;해적 주력함;Duży okręt piracki;Nau Capitânia Pirata;海盗主力舰;海盜主力艦
ACPirate Capital Ship Left LMWeapon;Флагманский корабль пиратов – левое ЛКОрудие – автоприменение;Verbündete Kommandanten - Großes Piratenschiff, linke LM-Waffe;Arma MI izquierda de buque insignia pirata (CA);CA - Nave pirata principal - Izquierda - LMWeapon;CA - Vaisseau amiral pirate - Gauche - Arme LM;CA - Nave ammiraglia dei pirati - Arma LM sinistra;동맹 사령관 해적 주력함 왼쪽 LM무기;SDDuży okręt piracki, Lewo, LMBroń;ACPirate Capital Ship Left LMWeapon;ACPirate Capital Ship Left LMWeapon;合作任務 - 海盜主力艦 - 左LM - 武器
ACPirate Capital Ship Right LMWeapon;Флагманский корабль пиратов – правое ЛКОрудие – автоприменение;Verbündete Kommandanten - Großes Piratenschiff, rechte LM-Waffe;Arma MI derecha de buque insignia pirata (CA);CA - Nave pirata principal - Derecha - LMWeapon;CA - Vaisseau amiral pirate - Droite - Arme LM;CA - Nave ammiraglia dei pirati - Arma LM destra;동맹 사령관 해적 주력함 오른쪽 LM무기;SDDuży okręt piracki, Prawo, LMBroń;ACPirate Capital Ship Right LMWeapon;ACPirate Capital Ship Right LMWeapon;合作任務 - 海盜主力艦 - 右LM - 武器
ACPirate Capital Ship Tractor Beam;Флагманский корабль пиратов – притягивающий луч – автоприменение;Verbündete Kommandanten - Großes Piratenschiff, Traktorstrahl;Haz tractor de buque insignia pirata (CA);CA - Nave pirata principal - Rayo tractor;CA - Vaisseau amiral pirate - Rayon tracteur;CA - Nave ammiraglia dei pirati - Raggio traente;동맹 사령관 해적 주력함 유인 광선;SDDuży okręt piracki, Wiązka przyciągająca;ACPirate Capital Ship Tractor Beam;ACPirate Capital Ship Tractor Beam;合作任務 - 海盜主力艦 - 牽引光束
ACPirate Yamato AWeapon;Флагманский корабль пиратов – орудие «Ямато» – оружие A;Verbündete Kommandanten - Piraten, Yamato-Kanone A - Waffe;Arma A yamato pirata (CA);CA - Pirata - Yamato A - Arma;CA - Yamato pirate - Arme A;CA - Pirati - Arma Yamato A;동맹 사령관 해적선 야마토 A무기;SDPiraci, Yamato, ABroń;ACPirate Yamato AWeapon;ACPirate Yamato AWeapon;合作任務 - 海盜 - 大和砲A - 武器
ACPirate Yamato BWeapon;Флагманский корабль пиратов – орудие «Ямато» – оружие B;Verbündete Kommandanten - Piraten, Yamato-Kanone B - Waffe;Arma B yamato pirata (CA);CA - Pirata - Yamato B - Arma;CA - Yamato pirate - Arme B;CA - Pirati - Arma Yamato B;동맹 사령관 해적선 야마토 B무기;SDPiraci, Yamato, BBroń;ACPirate Yamato BWeapon;ACPirate Yamato BWeapon;合作任務 - 海盜 - 大和砲B - 武器
Abandoned Structure;Заброшенное строение;Verlassenes Gebäude;Estructura abandonada;Estructura abandonada;Bâtiment abandonné;Struttura abbandonata;버려진 구조물;Opuszczona budowla;Estrutura abandonada;废弃的建筑;遺棄的建築
Biomass Critter;Биомасса животного;Biomasse - Critter;Criatura de biomasa;Criatura de biomasa;Créature de biomasse;Creatura della biomassa;생체 물질 중립 동물;Stworzenie z biomateriałem;Criatura de Biomassa;生物质小动物;生物質小生物
Acid Spore;Кислотная спора;Säurespore;Espora de ácido;Espora ácida;Spore acide;Spora acida;산성 포자;Kwasowe zarodniki;Esporo ácido;酸性孢子;強酸孢子
Adjutant Capsule;Оболочка адъютанта;Adjutantenkapsel;Cápsula de la ayudante;Adjutora - Cápsula;Capsule de l’aide de camp;Capsula per aiutante;부관 캡슐;Kapsuła adiutanta;Cápsula do Adjutor;副官工作舱;副官座艙
Power Cell;Энергетическое ядро;Energiezelle;Unidad de energía;Celda de energía;Accumulateur;Cella energetica;동력 장치;Ogniwo zasilające;Célula de Força;能量电池;動力核
Point Defense Drone Release Missile;Выброс модуля точечной обороны – снаряд;Verteidigungsdrohne - Geschoss abfeuern;Robot de defensa de punto: liberar misil;Dron de defensa puntual - Soltar misil;Libération de missile de drone de défense rapprochée;Drone di difesa puntuale - Rilascio missile;국지 방어기 미사일 발사;Robot obrony punktowej, Wypuść pocisk;Droide de Defesa Pontual - Lançar Míssil;Point Defense Drone Release Missile;定點防禦無人機 - 發射飛彈
Pylon Poweraid;Энергетический напиток «Пилон»;Red Bersi;Poweraid de pilón;Potencia de Pilón;Pylône-tonic;Polarizzatore di piloni;수정탑 이온음료;Pylonowy energetyk;Pilar Energético;水晶塔能量辅助;晶塔牌寶礦力
Protoss Warp Conduit;Канал искривления протоссов;Protoss-Warpverbindung;Conducto de distorsión protoss;Conducto de transposición protoss;Canal de transfert protoss;Tunnel dimensionale protoss;프로토스 차원로;Tunel przesyłowy protosów;Conduíte de Dobra Protoss;星灵时空航道;神族的躍傳中繼站
Rock Debris;Каменный завал;Felstrümmer;Escombros de roca;Roca - Escombros;Débris rocheux;Macerie rocciose;암석 잔해;Skalny gruz;Destroços de Rocha;岩石残渣;岩石碎塊
Aiur Temple Stone Gate;Храм Айура - каменные врата;Aiur - Tempel, Steintor;Templo de Aiur: puerta de piedra;Aiur - Templo - Puerta de piedra;Porte de pierre du temple d’Aïur;Portale di pietra del Tempio di Aiur;아이어 사원 돌 관문;Aiur, Świątynia, Kamienne wrota;Portão de Pedra do Templo de Aiur;Aiur Temple Stone Gate;艾爾神殿 - 石門
Aiur Temple Stone Gate Diagonal BLUR FF;Храм Айура - каменные врата - диагональные (/) - обращены вперед;Aiur - Tempel, Steintor - Diagonal, ULOR - vorwärts gerichtet;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AA;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - FF;Aiur Temple Stone Gate Diagonal BLUR FF;Portale di pietra del Tempio di Aiur - Diagonale BSAD FF;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 앞쪽 방향;Aiur, Świątynia, Kamienne wrota, Ukośne, DLGP, Przód;Aiur - Portão de Pedra do Templo - Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;
Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Храм Айура - каменные врата - диагональные (/) - обращены вперед - опущенные;Aiur - Tempel, Steintor - Diagonal, ULOR - vorwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AA - Bajada;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - FF - Cerrada;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Portale di pietra del Tempio di Aiur - Diagonale BSAD FF Abbassato;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 앞쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Ukośne, DLGP, Przód, Obniżone;Aiur - Portão de Pedra do Templo - Diagonal BLUR FF Baixo;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;
Aiur Temple Stone Gate Diagonal BLUR RF;Храм Айура - каменные врата - диагональные (/) - обращены вправо;Aiur - Tempel, Steintor - Diagonal, ULOR - rückwärts gerichtet;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AD;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - RF;Aiur Temple Stone Gate Diagonal BLUR RF;Portale di pietra del Tempio di Aiur - Diagonale BSAD RF;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 오른쪽 방향;Aiur, Świątynia, Kamienne wrota, Ukośne, DLGP, Prawa strona;Aiur - Portão de Pedra do Templo - Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;
Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Храм Айура - каменные врата - диагональные (/) - обращены вправо - опущенные;Aiur - Tempel, Steintor - Diagonal, ULOR - rückwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AD - Bajada;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - RF - Cerrada;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Portale di pietra del Tempio di Aiur - Diagonale BSAD RF Abbassato;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 오른쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Ukośne, DLGP, Prawa strona, Obniżone;Aiur - Portão de Pedra do Templo - Diagonal BLUR RF Baixo;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;
Aiur Temple Stone Gate Diagonal ULBR FF;Храм Айура - каменные врата - диагональные (\) - обращены вперед;Aiur - Tempel, Steintor - Diagonal, OLUR - vorwärts gerichtet;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AA;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - FF;Aiur Temple Stone Gate Diagonal ULBR FF;Portale di pietra del Tempio di Aiur - Diagonale ASBD FF;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 앞쪽 방향;Aiur, Świątynia, Kamienne wrota, Ukośne, GLDP, Przód;Aiur - Portão de Pedra do Templo - Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;
Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Храм Айура - каменные врата - диагональные (\) - обращены вперед - опущенные;Aiur - Tempel, Steintor - Diagonal, OLUR - vorwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AA - Bajada;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - FF - Cerrada;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Portale di pietra del Tempio di Aiur - Diagonale ASBD FF Abbassato;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 앞쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Ukośne, GLDP, Przód, Obniżone;Aiur - Portão de Pedra do Templo - Diagonal ULBR FF Baixo;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;
Aiur Temple Stone Gate Diagonal ULBR RF;Храм Айура - каменные врата - диагональные (\) - обращены вправо;Aiur - Tempel, Steintor - Diagonal, OLUR - rückwärts gerichtet;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AD;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - RF;Aiur Temple Stone Gate Diagonal ULBR RF;Portale di pietra del Tempio di Aiur - Diagonale ASBD RF;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 오른쪽 방향;Aiur, Świątynia, Kamienne wrota, Ukośne, GLDP, Prawa strona;Aiur - Portão de Pedra do Templo - Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;
Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Храм Айура - каменные врата - диагональные (\) - обращены вправо -опущенные;Aiur - Tempel, Steintor - Diagonal, OLUR - rückwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Diagonal BORROSA: AD - Bajada;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - RF - Cerrada;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Portale di pietra del Tempio di Aiur - Diagonale ASBD RF Abbassato;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 오른쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Ukośne, GLDP, Prawa strona, Obniżone;Aiur - Portão de Pedra do Templo - Diagonal ULBR RF Baixo;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;
Aiur Temple Stone Gate Straight Horizontal BF;Храм Айура - каменные врата - прямые - горизонтальные - обращены назад;Aiur - Tempel, Steintor - gerade, horizontal - rückwärts gerichtet;Templo de Aiur: puerta de piedra: Horizontal recta DA;Aiur - Templo - Puerta de piedra - Recta - Horizontal - BF;Aiur Temple Stone Gate Straight Horizontal BF;Portale di pietra del Tempio di Aiur - Orizzontale BF;아이어 사원 돌 관문 일직선 수평 뒤쪽 방향;Aiur, Świątynia, Kamienne wrota, Proste, Poziomo, Tył;Aiur - Portão de Pedra do Templo - Reto Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;
Aiur Temple Stone Gate Straight Horizontal BF Lowered;Храм Айура - каменные врата - прямые - горизонтальные - обращены назад - опущенные;Aiur - Tempel, Steintor - gerade, horizontal - rückwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Horizontal recta DA - Bajada;Aiur - Templo - Puerta de piedra - Recta - Horizontal - BF - Cerrada;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Portale di pietra del Tempio di Aiur - Orizzontale BF Abbassato;아이어 사원 돌 관문 일직선 수평 뒤쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Proste, Poziomo, Tył, Obniżone;Aiur - Portão de Pedra do Templo - Reto Horizontal BF Baixo;Aiur Temple Stone Gate Straight Horizontal BF Lowered;
Aiur Temple Stone Gate Straight Horizontal FF;Храм Айура - каменные врата - прямые - горизонтальные - обращены вперед;Aiur - Tempel, Steintor - gerade, horizontal - vorwärts gerichtet;Templo de Aiur: puerta de piedra: Horizontal recta AA;Aiur - Templo - Puerta de piedra - Recta - Horizontal - FF;Aiur Temple Stone Gate Straight Horizontal FF;Portale di pietra del Tempio di Aiur - Orizzontale FF;아이어 사원 돌 관문 일직선 수평 앞쪽 방향;Aiur, Świątynia, Kamienne wrota, Proste, Poziomo, Przód;Aiur - Portão de Pedra do Templo - Reto Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;
Aiur Temple Stone Gate Straight Horizontal FF Lowered;Храм Айура - каменные врата - прямые - горизонтальные - обращены вперед - опущенные;Aiur - Tempel, Steintor - gerade, horizontal - vorwärts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Horizontal recta AA - Bajada;Aiur - Templo - Puerta de piedra - Recta - Horizontal - FF - Cerrada;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Portale di pietra del Tempio di Aiur - Orizzontale FF Abbassato;아이어 사원 돌 관문 일직선 수평 앞쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Proste, Poziomo, Przód, Obniżone;Aiur - Portão de Pedra do Templo - Reto Horizontal FF Baixo;Aiur Temple Stone Gate Straight Horizontal FF Lowered;
Aiur Temple Stone Gate Straight Vertical LF;Храм Айура - каменные врата - прямые - горизонтальные - обращены влево;Aiur - Tempel, Steintor - gerade, vertikal - links gerichtet;Templo de Aiur: puerta de piedra: Vertical recta AI;Aiur - Templo - Puerta de piedra - Recta - Vertical - LF;Aiur Temple Stone Gate Straight Vertical LF;Portale di pietra del Tempio di Aiur - Verticale LF;아이어 사원 돌 관문 일직선 수직 왼쪽 방향;Aiur, Świątynia, Kamienne wrota, Proste, Pionowo, Lewa strona;Aiur - Portão de Pedra do Templo - Reto Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;
Aiur Temple Stone Gate Straight Vertical LF Lowered;Храм Айура - каменные врата - прямые - горизонтальные - обращены влево - опущенные;Aiur - Tempel, Steintor - gerade, vertikal - links gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Vertical recta AI - Bajada;Aiur - Templo - Puerta de piedra - Recta - Vertical - LF - Cerrada;Aiur Temple Stone Gate Straight Vertical LF Lowered;Portale di pietra del Tempio di Aiur - Verticale LF Abbassato;아이어 사원 돌 관문 일직선 수직 왼쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Proste, Pionowo, Lewa strona, Obniżone;Aiur - Portão de Pedra do Templo - Reto Vertical LF Baixo;Aiur Temple Stone Gate Straight Vertical LF Lowered;
Aiur Temple Stone Gate Straight Vertical RF;Храм Айура - каменные врата - прямые - горизонтальные - обращены вправо;Aiur - Tempel, Steintor - gerade, vertikal - rechts gerichtet;Templo de Aiur: puerta de piedra: Vertical recta AD;Aiur - Templo - Puerta de piedra - Recta - Vertical - RF;Aiur Temple Stone Gate Straight Vertical RF;Portale di pietra del Tempio di Aiur - Verticale RF;아이어 사원 돌 관문 일직선 수직 오른쪽 방향;Aiur, Świątynia, Kamienne wrota, Proste, Pionowo, Prawa strona;Aiur - Portão de Pedra do Templo - Reto Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;
Aiur Temple Stone Gate Straight Vertical RF Lowered;Храм Айура - каменные врата - прямые - горизонтальные - обращены вправо - опущенные;Aiur - Tempel, Steintor - gerade, vertikal - rechts gerichtet, gesenkt;Templo de Aiur: puerta de piedra: Vertical recta AD - Bajada;Aiur - Templo - Puerta de piedra - Recta - Vertical - RF - Cerrada;Aiur Temple Stone Gate Straight Vertical RF Lowered;Portale di pietra del Tempio di Aiur - Verticale RF Abbassato;아이어 사원 돌 관문 일직선 수직 오른쪽 방향 내림;Aiur, Świątynia, Kamienne wrota, Proste, Pionowo, Prawa strona, Obniżone;Aiur - Portão de Pedra do Templo - Reto Vertical RF Baixo;Aiur Temple Stone Gate Straight Vertical RF Lowered;
Alarak Psi Orb Upgraded;Аларак - пси-сфера - улучшенная;Alarak - Psi-Sphäre, verbessert;Orbe psi de Alarak mejorado;Alarak - Orbe psiónico - Mejorado;Alarak - Orbe psi amélioré;Alarak - Sfera psionica migliorata;알라라크 사이오닉 구체 업그레이드됨;Alarak, Kula psioniczna, Ulepszona;Orbe Psi de Alarak Aprimorado;Alarak Psi Orb Upgraded;亞拉瑞克 - 幽能光球 - 已升級
Alarak's Beacon;Маяк Аларака;Alaraks Signal;Baliza de Alarak;Faro de Alarak;Balise d’Alarak;Faro di Alarak;알라라크의 신호소;Przekaźnik Alaraka;Sinalizador de Alarak;阿拉纳克信标;亞拉瑞克的躍傳點
Alarak Soul Steal Dummy Attack Missile;Аларак - кража души - манекен - атака - снаряд;Alarak - Seelenraub, Dummy - Angriff, Geschoss;Misil de ataque de prueba de robo de alma de Alarak;Alarak - Robo de alma - Simulación - Ataque - Misil;Alarak - Vol d’âme - Leurre - Missile d’attaque;Alarak - Furto d'Anime - Missile attacco simulato;알라라크 영혼 강탈 임시 공격 미사일;Alarak, Kradzież duszy, Próbny, Atak, Pocisk;Alarak - Roubar Alma - Simulação - Míssil Ataque;Alarak Soul Steal Dummy Attack Missile;
AlarakStructureOverchargeWeapon;AlarakStructureOverchargeWeapon;Alarak - Gebäudeüberladung, Waffe;AlarakStructureOverchargeWeapon;AlarakStructureOverchargeWeapon;Alarak - Bâtiment - Surcharge - Arme;Alarak - Sovraccarico strutture - Arma;AlarakStructureOverchargeWeapon;AlarakPrzeciążenieBudowliBroń;AlarakStructureOverchargeWeapon;AlarakStructureOverchargeWeapon;亞拉瑞克_建築超載_武器
Aether Maw;Эфирное чрево;Ätherschlund;Fauces de éter;Fauces etéreas;Mâchoires éthérées;Fauci Eteree;에테르 아귀;Paszcza eterowa;Gorja de Éter;以太之喉;以太巨顎
Amon's Host;Тело Амуна;Amons Wirt;Recipiente de Amon;Huésped de Amón;Hôte d’Amon;Corpo ospite di Amon;아몬의 숙주;Nosiciel Amona;Hospedeiro de Amon;埃蒙的宿体;亞蒙的軀殼
Amon Host Death Beam Unit;Тело Амуна – луч смерти – единица;Amon - Wirtskörper, Todesstrahl - Einheit;Recipiente de Amon: unidad de haz de muerte;Amón - Huésped - Rayo mortal - Unidad;Hôte d’Amon - Rayon de mort - Unité;Amon - Ospite - Unità raggio mortale;아몬 숙주 죽음의 광선 유닛;Nosiciel Amona, Promień śmierci, Jednostka;Unidade Feixe da Morte - Hospedeiro de Amon;Amon Host Death Beam Unit;亞蒙的軀殼 - 死亡射線 - 單位
Repulsor Field;Отталкивающее поле;Abwehrfeld;Campo de repulsión;Campo repulsor;Champ répulsif;Campo respingente;충돌장;Pole odpychające;Campo Repulsor;斥力场;驅逐力場
Repulsor Field (20);Отталкивающее поле (20);Abwehrfeld (20);Campo de repulsión (20);Campo repulsor (20);Champ répulsif (20);Campo respingente (20);충돌장 (20);Pole odpychające (20);Campo Repulsor (20);斥力场（20）;驅逐力場（20）
Torment Construct;Конструкция боли;Konstrukt der Qual;Creación de tormento;Constructo atormentador;Assemblage de tourment;Costrutto tormentatore;고통의 피조물;Twór udręki;Constructo da Tormenta;苦痛构造体;苦痛晶體
Rampage Construct;Конструкция ярости;Konstrukt des Zorns;Creación de devastación;Constructo devastador;Assemblage de saccage;Costrutto distruttore;광란의 피조물;Twór zniszczenia;Constructo da Chacina;狂暴构造体;狂暴晶體
Amon Shard BWeapon;Амун – осколок – оружие B;Amon - Splitter B, Waffe;Arma de fragmento de Amon B;Amón - Esquirla - Arma B;Fragment d’Amon - Arme B;Amon - Frammento - Arma B;아몬 파편 B무기;Amon, Odłamek, BBroń;Amon - Estilhaço - ArmaB;Amon Shard BWeapon;亞蒙 - 晶體B - 武器
Oblivion Construct;Конструкция забвения;Konstrukt des Vergessens;Creación del olvido;Constructo del olvido;Assemblage de l’oubli;Costrutto obliterante;망각의 피조물;Twór nicości;Constructo da Aniquilação;湮灭构造体;滅絕晶體
