Arclite Shock Cannon;Осадная пушка «Радуга»;Arclite-Schockkanone;Cañón de impacto arcolux;Cañón de impacto Arclite;Canon choc Arclite;Cannone d'assedio Arclite;아크라이트 충격포;Działo burzące Arclite;Canhão de choque Arcolite;弧光震击炮;弧光衝擊加農砲
Throw Molotov;Бросок коктейля Молотова;Molotowcocktail werfen;Lanzar molotov;Arrojar bomba molotov;Lancer un cocktail Molotov;Lancio molotov;화염병 투척;Rzuć koktajl Mołotowa;Atirar Molotov;投掷燃烧瓶;丟擲莫洛托夫燃燒瓶
AGR-28 Gauss Rifle;Винтовка Гаусса AGR-28;AGR-28 Gaußgewehr;Fusil gauss AGR-28;Rifle Gauss AGR-28;Fusil Gauss AGR-28;Fucile gaussiano AGR-28;AGR-28 가우스 소총;Karabin Gaussa AGR-28;Rifle Gauss AGR-28;AGR-28型电磁枪;AGR-28電磁步槍
Disrupter Pulse;Импульсные расщепители;Disruptor-Impuls;Pulso disruptor;Pulso distorsionador;Disrupteur à impulsions;Impulso disgregatore;분열파;Impulsator rozszczepiający;Pulso disruptor;干扰器脉冲;干擾脈衝
Energy Beam;Энергетический луч;Energiestrahl;Haz de energía;Rayo de energía;Rayon d’énergie;Raggio energetico;에너지 광선;Wiązka energetyczna;Feixe energético;能量光束;能量光束
Void Cannon;Пушка пустоты;Leerenkanone;Cañón de vacío;Cañón del Vacío;Canon du Vide;Cannone del Vuoto;공허포;Działo otchłani;Canhão anulador;虚空炮;虛空加農砲
Fragmentation Grenade;Осколочная граната;Splittergranate;Granada de fragmentación;Granada de fragmentación;Grenade à fragmentation;Granata a frammentazione;파편 유탄;Granat odłamkowy;Granada de fragmentação;碎片榴弹;破片榴彈
120mm Cannon;120-мм пушка;120mm-Kanone;Cañón de 120 mm;Cañones de 120 mm;Canon 120 mm;Cannone da 120mm;120mm 포;Działa 120 mm;Canhão de 120 mm;120毫米口径火炮;120毫米加農砲
T82 Missile Pod;Ракетный модуль T82;T82-Raketenbatterie;Cápsula de misiles T82;Cápsula de misiles T82;Silo à missiles T82;Batteria di missili T82;T82 미사일 포;Wyrzutnie rakiet T82;Lança-mísseis T82;T82飞弹舱;T82型飛彈艙
Napalm Burninator;Напалмовый распылитель;Napalm-Burninator;Quemificador de napalm;Napalm anti-infantería;Napalminator;Napalm Burninator;네이팜 소이탄;Napalmowy zapiekacz;Queimador Napalm;凝固汽油弹燃烧器;汽油彈焊熔
Gemini Missiles;Ракеты «Близнецы»;Gemini-Raketen;Misiles géminis;Misiles Géminis;Missiles Gemini;Missili Gemini;쌍둥이 미사일;Rakiety Gemini;Mísseis Gemini;双子飞弹;雙子飛彈
Burst Lasers;Импульсные лазеры;Salvenlaser;Láseres de ráfaga;Ráfaga láser;Lasers à impulsion;Laser esplosivi;파열 레이저;Lasery pulsacyjne;Rajada laser;脉冲激光炮;爆裂雷射
Master Psi Blade;Пси-клинок мастера;Psi-Meisterklinge;Cuchilla psi maestra;Cuchilla psi maestra;Lames psi d’expert;Lama psionica del Maestro;강화 사이오닉 검;Mistrzowskie ostrza psioniczne;Lâmina mestre psiônica;大师灵能利刃;高階幽能之刃
Long Bolt Missiles;Снаряды с длинными стрелами;Langschaftraketen;Misiles de descarga largos;Misiles Longbolt;Missiles Flèche;Missili Longbolt;장거리 미사일;Pociski Long Bolt;Misseis Arco Longo;长箭飞弹;長箭 - 飛彈
Titanium Claws;Титановые клешни;Titaniumklauen;Garras de titanio;Garras de titanio;Griffes en titane;Artigli di titanio;티타늄 발톱;Szpony z tytanu;Garras de titânio;钛钢之爪;鈦合金爪
Acid Spores (Air);Кислотные споры (воздушная атака);Säuresporen (Luft);Esporas ácidas (aire);Esporas ácidas (Aire);Spores acides (aériens);Spore acide (Aeree);산성 포자 (공중);Kwasowe zarodniki (powietrze);Esporos Ácidos (Ar);酸性孢子（对空）;強酸孢子（空中）
Acid Spray;Брызги кислоты;Säure versprühen;Ácido salpicado;Rociador de ácido;Giclée d’acide;Spruzzo ustionante;산성 분출;Rozprysk kwasu;Spray Ácido;剧毒喷吐;酸液噴濺
Big Splitterling;Большой дроблинг;Großer Splitterling;Plagaling grande;Mitocito grande;Grand scissieux;Mitoside grande;거대 쌍독충;Wielki rozszczepieniec;Mitosídeo Grande;大型分裂虫;大分裂蟲
Acidic Projection;Кислотный обстрел по воздуху;Säurehaltige Luftdetonation;Proyección de ácido;Proyección ácida;Projection acide;Proiezione acida;산성 투사;Kwasowa eksplozja;Projeção Ácida;酸性轰炸;強酸氣浪
Serrated Talons;Зазубренные когти;Gezackte Klauen;Garras dentadas;Garras dentadas;Serres dentelées;Artigli seghettati;톱니 발톱;Migbłystalne szpony;Garras Serrilhadas;锯齿利爪;鋸爪
Talons;Когти;Krallen;Garras;Garras;Serres;Artigli;발톱;Szpony;Garras;利爪;蟲爪
Acid Spines;Кислотные шипы;Säurestacheln;Espinas ácidas;Espinas ácidas;Aiguillons acides;Aculei acidi;산성 가시뼈;Kolce kwasowe;Espinhos ácidos;强酸脊刺;強酸脊刺
Corrosive Expulsion;Разъедающий выброс;Ätzender Ausstoß;Expulsión corrosiva;Expulsión corrosiva;Projection corrosive;Espulsione corrosiva;부식성 축출;Kolce;Expulsão Corrosiva;腐蚀脊刺;腐蝕噴濺
Devourer Ground;Пожиратель - наземный;Vernichter - Boden;Suelo de devorador;Devorador - Terreno;Dévoreur terrestre;Divoratore (terra);포식귀 지상;Pożeracz, Ziemia;Chão Devorador;吞噬者 对地;吞噬蟲 - 地面
Glave Wurm;Чакрум;Parasitärer Sporenwurm;Guja dragón;Gusano Gladia;Ver sabre;Simbionte uncinato;쐐기 벌레;Czerw glewiowy;Peste morfética;刃虫;刃蟲
Explosive Barrage;Обстрел разрывными снарядами;Explosive Bombardierung;Descarga explosiva;Andanada explosiva;Barrage explosif;Sbarramento esplosivo;폭발 사격;Wybuchowa nawałnica;Salva Explosiva;爆炸弹幕;爆炸性彈幕
Volatile Burst;Кислотный взрыв;Explosives Aufplatzen;Explosión volátil;Estallido volátil;Explosion incontrôlée;Raffica esplosiva;순간 폭발;Niestabilny rozprysk;Explosão volátil;不稳定爆裂;蝕血瞬炸
HotS Baneling Explode;HotS - гиблинг - взрыв;HotS - Berstling, Explosion;HotS Explosión de pesteling;HotS - Uetzi - Explotar;HotS chancre explosion;Esplosione Baneling HotS;군단의 심장 맹독충 폭발;HotS – Tępiciel – Mała eksplozja;HotS Tatu-bomba Explosão;虫群之心爆虫爆炸;蟲族之心 - 毒爆蟲爆炸
HotS Baneling Explode Building;HotS - гиблинг - взрыв - строение;HotS - Berstling, Explosion - Gebäude;HotS Explosión de edificio de pesteling;HotS - Uetzi - Explotar edificación;HotS chancre explosion construction;Esplosione Baneling struttura HotS;군단의 심장 맹독충 폭발 건물;HotS – Tępiciel – eksplozja – budowla;HotS Tatu-bomba Explosão Estrutura;虫群之心爆虫爆炸 建筑;蟲族之心 - 毒爆蟲爆炸 - 建築
HotS Baneling Explode Building Small;HotS - гиблинг - взрыв - строение - малый;HotS - Berstling, Explosion - Gebäude, klein;HotS Explosión menor de edificio de pesteling;HotS - Uetzi - Explotar edificación pequeña;HotS chancre explosion construction petit;Esplosione Baneling struttura piccola HotS;군단의 심장 맹독충 폭발 건물 작음;HotS – Tępiciel – eksplozja – budowla – mała;HotS Tatu-bomba Explodir Estrutura Pequena;虫群之心爆虫爆炸 小型建筑;蟲族之心 - 毒爆蟲爆炸 - 建築（小）
HotS Baneling Explode Small;HotS - гиблинг - взрыв - малый;HotS - Berstling, Explosion - Klein;HotS Explosión menor de pesteling;HotS - Uetzi - Explotar pequeño;HotS chancre explosion petit;Esplosione Baneling piccola HotS;군단의 심장 맹독충 폭발 작음;HotS – Tępiciel – Mała eksplozja;HotS Tatu-bomba Explosão Pequena;虫群之心爆虫爆炸 小型;蟲族之心 - 毒爆蟲爆炸（小）
HotS Baneling Launch;HotS - гиблинг - атака;HotS - Berstling, starten;HotS Lanzamiento de pesteling;HotS - Uetzi - Lanzar;HotS chancre lancement;Lancio Baneling HotS;군단의 심장 맹독충 발사;HotS – Tępiciel – Odpalenie;HotS Tatu-bomba Lançamento;虫群之心爆虫 发射;蟲族之心 - 毒爆蟲躍衝
HotS Baneling Launch Building;HotS - гиблинг - атака - строение;HotS - Berstling, starten - Gebäude;HotS Lanzamiento de edificio de pesteling;HotS - Uetzi - Lanzar edificación;HotS chancre lancement construction;Lancio Baneling struttura HotS;군단의 심장 맹독충 발사 건물;HotS – Tępiciel – Odpalenie – budowla;HotS Tatu-bomba Lançar estrutura;虫群之心爆虫 发射建筑;蟲族之心 - 毒爆蟲躍衝 - 建築
HotS Splitterling Big Volatile Burst Building;HotS - дроблинг - большой кислотный взрыв - строение;HotS - Splitterling, groß - Explosives Aufplatzen, Gebäude;Ráfaga volátil grande contra edificio de plagaling de HotS;HotS - Mitocito - Grande- Estallido volátil - Edificación;Hots scissieux grand explosion incontrôlée construction;Raffica esplosiva struttura Mitoside grande HotS;군단의 심장 쌍독충 큰 순간 폭발 건물;HotS Rozszczepnik Duży Gwałtowny rozbryzg Budowla;Estrutura de Explosão Volátil Grande Mitosídeo do HotS;虫群之心分裂虫 大型不稳定爆裂 建筑;蟲族之心 - 分裂蟲 - 大 - 蝕血瞬炸 - 建築
HotS Splitterling Medium Volatile Burst Building;HotS - дроблинг - средний кислотный взрыв - строение;HotS - Splitterling, mittel - Explosives Aufplatzen, Gebäude;Ráfaga volátil mediana contra edificio de plagaling de HotS;HotS - Mitocito - Mediano - Estallido volátil - Edificación;Hots scissieux moyen explosion incontrôlée construction;Raffica esplosiva struttura Mitoside medio HotS;군단의 심장 쌍독충 중간 순간 폭발 건물;HotS Rozszczepnik Średni Gwałtowny rozbryzg Budowla;Estrutura de Explosão Volátil Médio Mitosídeo do HotS;虫群之心分裂虫 中型不稳定爆裂 建筑;蟲族之心 - 分裂蟲 - 中 - 蝕血瞬炸 - 建築
HotS Splitterling Small Volatile Burst Building;HotS - дроблинг - малый кислотный взрыв - строение;HotS - Splitterling, klein - Explosives Aufplatzen, Gebäude;Ráfaga volátil pequeña contra edificio de plagaling de HotS;HotS - Mitocito - Pequeño - Estallido volátil - Edificación;Hots scissieux petit explosion incontrôlée construction;Raffica esplosiva struttura Mitoside piccolo HotS;군단의 심장 쌍독충 작은 순간 폭발 건물;HotS Rozszczepnik Mały Gwałtowny rozbryzg Budowla;Estrutura de Explosão Volátil Pequena Mitosídeo do HotS;虫群之心分裂虫 小型不稳定爆裂 建筑;蟲族之心 - 分裂蟲 - 小 - 蝕血瞬炸 - 建築
Hunter Volatile Burst;Охотник - Кислотный взрыв;Jägerling - Explosives Aufplatzen;Ráfaga volátil de cazador;Cazador - Estallido volátil;Chasseur - explosion incontrôlée;Raffica esplosiva Cacciatore;사냥꾼 순간 폭발;Łowca – Niestabilny rozprysk;Explosão Volátil Caçador;猎杀虫不稳定爆裂;獵殺蟲 - 蝕血瞬炸
Hunter Volatile Burst Building;Охотник - Кислотный взрыв - строение;Jägerling - Explosives Aufplatzen, Gebäude;Ráfaga volátil contra edificio de cazador;Cazador - Estallido volátil - Edificación;Chasseur - explosion incontrôlée - construction;Raffica esplosiva struttura Cacciatore;사냥꾼 순간 폭발 건물;Łowca – Niestabilny rozprysk, Budowla;Explosão Volátil Caçador Estrutura;猎杀虫不稳定爆裂 建筑;獵殺蟲 - 蝕血瞬炸 - 建築
Hunter Volatile Burst Melee;Охотник - Кислотный взрыв - ближний бой;Jägerling - Explosives Aufplatzen, Nahkampf;Cazador: explosión volátil cuerpo a cuerpo;Cazador - Estallido volátil - Melé;Chasseur - explosion incontrôlée - mêlée;Raffica esplosiva mischia Cacciatore;사냥꾼 순간 폭발 근접;Łowca - Niestabilny rozprysk - Walka wręcz;Explosão volátil Caçador Corpo a corpo;猎杀虫的不稳定爆裂近战;獵殺蟲 - 蝕血瞬炸 - 近戰攻擊
Hunter Volatile Burst Melee Building;Охотник - Кислотный взрыв - ближний бой - строение;Jägerling - Explosives Aufplatzen, Nahkampf - Gebäude;Ráfaga volátil cuerpo a cuerpo contra edificio de cazador;Cazador - Estallido volátil - Melé - Edificación;Chasseur - explosion incontrôlée - mêlée - construction;Raffica esplosiva mischia struttura Cacciatore;사냥꾼 순간 폭발 근접 건물;Łowca – Niestabilny rozprysk - Walka wręcz, Budowla;Explosão Volátil Caçador Corpo-a-corpo Estrutura;猎杀虫不稳定爆裂 近战 建筑;獵殺蟲 - 蝕血瞬炸 - 近戰攻擊 - 建築
Bio-Barrage;Биообстрел;Bio-Beschuss;Biodescarga;Bioandanada;Barrage bio;Bio-sbarramento;생체 연발 포격;Bionawałnica;Biobarragem;生化弹幕;生化轟擊
Piercing Tentacle;Пронзающее щупальце;Durchstechendes Tentakel;Tentáculo perforador;Tentáculo penetrante;Tentacule perforant;Tentacolo perforante;날카로운 촉수;Przebijacz;Tentáculo Perfurante;尖锐触须;穿刺觸手
Backlash Rockets;Ракеты «Бумеранг»;Backlash-Raketen;Cohetes de retroceso;Cohetes contragolpe;Roquettes Contrecoup;Razzi Backlash;반동 로켓포;Rakiety Backlash;Foguetes de retrocesso;反冲火箭;震裂火箭
Corrosive Bolt;Коррозийный заряд;Korridierender Blitz;Descarga corrosiva;Rayo corrosivo;Trait corrosif;Dardo corrosivo;부식성 번개;Pocisk żrący;Projétil Corrosivo;腐蚀飞弹;腐蝕箭
Needle Claws;Острые когти;Nadelklauen;Garras aguja;Garras punzantes;Griffes à aiguilles;Artigli uncinati;바늘 발톱;Igłoszpony;Garras de agulha;针形利爪;針爪
Bile Bomb;Споровая бомба;Gallbombe;Bomba biliar;Bomba de bilis;Bombe de bile;Bomba biliare;담즙 폭탄;Bomba żółciowa;Bomba de Bile;胆汁炸弹;酸液彈
Spine Volley;Плеточный залп;Stachelsalve;Salva de espinas;Lluvia de espinas;Volée d’aiguillons;Salva di aculei;가시 공세;Salwa kolców;Salva de Espinhos;脊针箭雨;脊刺連射
Sharp Beak;Острый клюв;Spitzer Schnabel;Pico afilado;Pico filoso;Bec-tranchant;Becco affilato;날카로운 부리;Ostry dziób;Bico Afiado;尖锐鸟嘴;尖喙
