Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Abil/Name/AbathurDeepTunnelImproved;Deep Tunnel;Глубинный тоннель;Tiefentunnel;Túnel profundo;Túnel profundo;Tunnel profond;Rintanamento profondo;굴 파기;Głęboki Przekop;Túnel Profundo;深槽虫道;深度挖掘
Abil/Name/AbathurMarkforCollection;Mark for Collection;Mark for Collection;Mark for Collection;Mark for Collection;Mark for Collection;Mark for Collection;Mark for Collection;수집 징표;Mark for Collection;Marcar para Coleta;搜集标记;採集標記
Abil/Name/AbathurMend;Mend;Mend;Mend;Mend;Mend;Mend;Mend;치유;Mend;Restaurar;愈合;療癒
Abil/Name/AbathurSpawnLocusts;Spawn Locusts;Spawn Locusts;Spawn Locusts;Spawn Locusts;Engendrar langostas;Spawn Locusts;Spawn Locusts;식충 생성;Spawn Locusts;Gerar Gafanhotos;孵化蝗虫;孵化蝗蟲
Abil/Name/AbathurSymbioteHangerBrutalisk;Abathur Symbiote Hangar;Abathur Symbiote Hangar;Abathur Symbiote Hangar;Abathur Symbiote Hangar;Hangar de Simbionte de Abathur;Abathur Symbiote Hangar;Abathur Symbiote Hangar;아바투르 공생체 걸이;Abathur Symbiote Hangar;Simbionte - Abathur - Hangar;阿巴瑟共生激素携带体;阿巴瑟 - 共生體 - 機棚
Abil/Name/AbathurUltimateEvolution;Ultimate Evolution;Ultimate Evolution;Ultimate Evolution;Ultimate Evolution;Ultimate Evolution;Ultimate Evolution;Ultimate Evolution;최종 진화물;Ultimate Evolution;Evolução Suprema;终极进化;終極進化
Abil/Name/AcidicCloud;Acidic Cloud;Acidic Cloud;Acidic Cloud;Acidic Cloud;Nube ácida;Acidic Cloud;Acidic Cloud;산성 구름;Acidic Cloud;Nuvem Ácida;酸蚀之云;酸霧
Abil/Name/AdvancedConstruction;Advanced Construction;Advanced Construction;Advanced Construction;Advanced Construction;Construcción avanzada;Advanced Construction;Advanced Construction;협동 건설;Advanced Construction;Construção avançada;高级建造;進階建造
Abil/Name/AdvancedConstructionAuto;Advanced Construction;Advanced Construction;Advanced Construction;Advanced Construction;Construcción avanzada;Advanced Construction;Advanced Construction;협동 건설;Advanced Construction;Construção Avançada;高级建造;進階建造
Abil/Name/AetherMawAetherStorm;Aether Storm;Aether Storm;Aether Storm;Aether Storm;Tormenta etérea;Aether Storm;Aether Storm;에테르 폭풍;Aether Storm;Tempestade Etérea;以太风暴;以太風暴
Abil/Name/AiurProtectorDamageBoost;Aiur Protector Damage Boost;Aiur Protector Damage Boost;Aiur Protector Damage Boost;Aiur Protector Damage Boost;Aiur - Protector - Aumento de daño;Aiur Protector Damage Boost;Aiur Protector Damage Boost;아이어 보호자 공격력 증폭;Aiur Protector Damage Boost;Aiur - Protetor - Aumento de Dano;Aiur Protector Damage Boost;艾爾 - 保衛者 - 傷害 - 增效
Abil/Name/AiurTempleStoneGateDefaultLower;Aiur Temple Stone Gate Default Lower;Aiur Temple Stone Gate Default Lower;Aiur Temple Stone Gate Default Lower;Aiur Temple Stone Gate Default Lower;Aiur - Templo - Puerta de piedra - Predeterminada - Cerrada;Aiur Temple Stone Gate Default Lower;Aiur Temple Stone Gate Default Lower;아이어 사원 돌 관문 기본 내림;Aiur Temple Stone Gate Default Lower;Aiur - Portão de Pedra do Templo - Padrão Baixo;Aiur Temple Stone Gate Default Lower;
Abil/Name/AiurTempleStoneGateDefaultRaise;Aiur Temple Stone Gate Default Raise;Aiur Temple Stone Gate Default Raise;Aiur Temple Stone Gate Default Raise;Aiur Temple Stone Gate Default Raise;Aiur - Templo - Puerta de piedra - Predeterminada - Abierta;Aiur Temple Stone Gate Default Raise;Aiur Temple Stone Gate Default Raise;아이어 사원 돌 관문 기본 올림;Aiur Temple Stone Gate Default Raise;Aiur - Portão de Pedra do Templo - Padrão Levantado;Aiur Temple Stone Gate Default Raise;
Abil/Name/AiurTempleStoneGateDiagonalBLUR;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - FF;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 앞쪽 방향;Aiur Temple Stone Gate Diagonal BLUR FF;Aiur - Portão de Pedra do Templo - Diagonal BLUR FF;Aiur Temple Stone Gate Diagonal BLUR FF;
Abil/Name/AiurTempleStoneGateDiagonalBLURLowered;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - FF - Cerrada;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 앞쪽 방향 내림;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;Aiur - Portão de Pedra do Templo - Diagonal BLUR FF Baixo;Aiur Temple Stone Gate Diagonal BLUR FF Lowered;
Abil/Name/AiurTempleStoneGateDiagonalBLURRF;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - RF;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 오른쪽 방향;Aiur Temple Stone Gate Diagonal BLUR RF;Aiur - Portão de Pedra do Templo - Diagonal BLUR RF;Aiur Temple Stone Gate Diagonal BLUR RF;
Abil/Name/AiurTempleStoneGateDiagonalBLURRFLowered;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur - Templo - Puerta de piedra - Diagonal - BLUR - RF - Cerrada;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;아이어 사원 돌 관문 대각선 왼쪽 하단 오른쪽 상단 오른쪽 방향 내림;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;Aiur - Portão de Pedra do Templo - Diagonal BLUR RF Baixo;Aiur Temple Stone Gate Diagonal BLUR RF Lowered;
Abil/Name/AiurTempleStoneGateDiagonalULBR;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - FF;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 앞쪽 방향;Aiur Temple Stone Gate Diagonal ULBR FF;Aiur - Portão de Pedra do Templo - Diagonal ULBR FF;Aiur Temple Stone Gate Diagonal ULBR FF;
Abil/Name/AiurTempleStoneGateDiagonalULBRLowered;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - FF - Cerrada;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 앞쪽 방향 내림;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;Aiur - Portão de Pedra do Templo - Diagonal ULBR FF Baixo;Aiur Temple Stone Gate Diagonal ULBR FF Lowered;
Abil/Name/AiurTempleStoneGateDiagonalULBRRF;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - RF;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 오른쪽 방향;Aiur Temple Stone Gate Diagonal ULBR RF;Aiur - Portão de Pedra do Templo - Diagonal ULBR RF;Aiur Temple Stone Gate Diagonal ULBR RF;
Abil/Name/AiurTempleStoneGateDiagonalULBRRFLowered;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur - Templo - Puerta de piedra - Diagonal - ULBR - RF - Cerrada;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;아이어 사원 돌 관문 대각선 왼쪽 상단 오른쪽 하단 오른쪽 방향 내림;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;Aiur - Portão de Pedra do Templo - Diagonal ULBR RF Baixo;Aiur Temple Stone Gate Diagonal ULBR RF Lowered;
Abil/Name/AiurTempleStoneGateStraightHorizontalBF;Aiur Temple Stone Gate Straight Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;Aiur - Templo - Puerta de piedra - Recta - Horizontal - BF;Aiur Temple Stone Gate Straight Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;아이어 사원 돌 관문 일직선 수평 뒤쪽 방향;Aiur Temple Stone Gate Straight Horizontal BF;Aiur - Portão de Pedra do Templo - Reto Horizontal BF;Aiur Temple Stone Gate Straight Horizontal BF;
Abil/Name/AiurTempleStoneGateStraightHorizontalBFLowered;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur - Templo - Puerta de piedra - Recta - Horizontal - BF - Cerrada;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur Temple Stone Gate Straight Horizontal BF Lowered;아이어 사원 돌 관문 일직선 수평 뒤쪽 방향 내림;Aiur Temple Stone Gate Straight Horizontal BF Lowered;Aiur - Portão de Pedra do Templo - Reto Horizontal BF Baixo;Aiur Temple Stone Gate Straight Horizontal BF Lowered;
Abil/Name/AiurTempleStoneGateStraightHorizontalFF;Aiur Temple Stone Gate Straight Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;Aiur - Templo - Puerta de piedra - Recta - Horizontal - FF;Aiur Temple Stone Gate Straight Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;아이어 사원 돌 관문 일직선 수평 앞쪽 방향;Aiur Temple Stone Gate Straight Horizontal FF;Aiur - Portão de Pedra do Templo - Reto Horizontal FF;Aiur Temple Stone Gate Straight Horizontal FF;
Abil/Name/AiurTempleStoneGateStraightHorizontalFFLowered;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur - Templo - Puerta de piedra - Recta - Horizontal - FF - Cerrada;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur Temple Stone Gate Straight Horizontal FF Lowered;아이어 사원 돌 관문 일직선 수평 앞쪽 방향 내림;Aiur Temple Stone Gate Straight Horizontal FF Lowered;Aiur - Portão de Pedra do Templo - Reto Horizontal FF Baixo;Aiur Temple Stone Gate Straight Horizontal FF Lowered;
Abil/Name/AiurTempleStoneGateStraightVerticalLF;Aiur Temple Stone Gate Straight Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;Aiur - Templo - Puerta de piedra - Recta - Vertical - LF;Aiur Temple Stone Gate Straight Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;아이어 사원 돌 관문 일직선 수직 왼쪽 방향;Aiur Temple Stone Gate Straight Vertical LF;Aiur - Portão de Pedra do Templo - Reto Vertical LF;Aiur Temple Stone Gate Straight Vertical LF;
Abil/Name/AiurTempleStoneGateStraightVerticalLFLowered;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur - Templo - Puerta de piedra - Recta - Vertical - LF - Cerrada;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur Temple Stone Gate Straight Vertical LF Lowered;아이어 사원 돌 관문 일직선 수직 왼쪽 방향 내림;Aiur Temple Stone Gate Straight Vertical LF Lowered;Aiur - Portão de Pedra do Templo - Reto Vertical LF Baixo;Aiur Temple Stone Gate Straight Vertical LF Lowered;
Abil/Name/AiurTempleStoneGateStraightVerticalRF;Aiur Temple Stone Gate Straight Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;Aiur - Templo - Puerta de piedra - Recta - Vertical - RF;Aiur Temple Stone Gate Straight Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;아이어 사원 돌 관문 일직선 수직 오른쪽 방향;Aiur Temple Stone Gate Straight Vertical RF;Aiur - Portão de Pedra do Templo - Reto Vertical RF;Aiur Temple Stone Gate Straight Vertical RF;
Abil/Name/AiurTempleStoneGateStraightVerticalRFLowered;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur - Templo - Puerta de piedra - Recta - Vertical - RF - Cerrada;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur Temple Stone Gate Straight Vertical RF Lowered;아이어 사원 돌 관문 일직선 수직 오른쪽 방향 내림;Aiur Temple Stone Gate Straight Vertical RF Lowered;Aiur - Portão de Pedra do Templo - Reto Vertical RF Baixo;Aiur Temple Stone Gate Straight Vertical RF Lowered;
Abil/Name/AlarakACDeadlyCharge;Deadly Charge;Deadly Charge;Deadly Charge;Deadly Charge;Arremetida mortal;Deadly Charge;Deadly Charge;치명적인 돌진;Deadly Charge;Investida Mortal;致命冲锋;死亡衝鋒
Abil/Name/AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole;AlarakACSoAMothershipV4BlackHole
Abil/Name/AlarakACSummonDeathfleet;Summon Deathfleet;Summon Deathfleet;Summon Deathfleet;Summon Deathfleet;Invocar Flota de la Muerte;Summon Deathfleet;Summon Deathfleet;죽음의 함대 소환;Summon Deathfleet;Evocar Frota da Morte;召唤死亡舰队;召喚死亡艦隊
Abil/Name/AlarakAvatar;Alarak Avatar;Alarak Avatar;Alarak Avatar;Alarak Avatar;Alarak - Avatar;Alarak Avatar;Alarak Avatar;알라라크 아바타;Alarak Avatar;Avatar de Alarak;Alarak Avatar;亞拉瑞克 - 化身
Abil/Name/AlarakDeadlyCharge;Deadly Charge;Deadly Charge;Deadly Charge;Deadly Charge;Arremetida mortal;Deadly Charge;Deadly Charge;치명적인 돌진;Deadly Charge;Investida Mortal;Deadly Charge;死亡衝鋒
Abil/Name/AlarakEmpower;Empower Me, Slaves;Empower Me, Slaves;Empower Me, Slaves;Empower Me, Slaves;Sírvanme, esclavos;Empower Me, Slaves;Empower Me, Slaves;노예들아, 날 강화하라;Empower Me, Slaves;Deem-me Poder, Escravos;供奉我，奴仆们;強化我的力量吧，僕人
Abil/Name/AlarakForkedLightning;Forked Lightning;Forked Lightning;Forked Lightning;Forked Lightning;Relámpago bífido;Forked Lightning;Forked Lightning;갈래 번개;Forked Lightning;Raio Bifurcado;Forked Lightning;多重閃電
Abil/Name/AlarakInsanity;Alarak Insanity;Alarak Insanity;Alarak Insanity;Alarak Insanity;Alarak - Demencia;Alarak Insanity;Alarak Insanity;알라라크 광기;Alarak Insanity;Insanidade de Alarak;Alarak Insanity;亞拉瑞克 - 瘋狂
Abil/Name/AlarakKnockback;Destruction Wave;Destruction Wave;Destruction Wave;Destruction Wave;Oleada destructiva;Destruction Wave;Destruction Wave;파괴 파동;Destruction Wave;Onda de Destruição;Destruction Wave;破滅衝擊
Abil/Name/AlarakMindBlast;Plasma Scourge;Plasma Scourge;Plasma Scourge;Plasma Scourge;Azote plasmático;Plasma Scourge;Plasma Scourge;플라스마 갈귀;Plasma Scourge;Flagelo de Plasma;Plasma Scourge;電漿懲擊
Abil/Name/AlarakMothershipMassRecall;Mothership Mass Recall;Mothership Mass Recall;Mothership Mass Recall;Mothership Mass Recall;Nave Nodriza - Repliegue en masa;Mothership Mass Recall;Mothership Mass Recall;모선 대규모 귀환;Mothership Mass Recall;Convocação em Massa da Nave-mãe;母舰群体召回;聖母艦 - 群體召喚
Abil/Name/AlarakPsiOrb;Psionic Orb;Psionic Orb;Psionic Orb;Psionic Orb;Orbe psiónico;Psionic Orb;Psionic Orb;사이오닉 구체;Psionic Orb;Orbe Psiônico;Psionic Orb;幽能光球
Abil/Name/AlarakRevive;Alarak Revive;Alarak Revive;Alarak Revive;Alarak Revive;Resurrección de Alarak;Alarak Revive;Alarak Revive;알라라크 부활;Alarak Revive;Reviver Alarak;阿拉纳克复活;亞拉瑞克復活
Abil/Name/AlarakSingularity;Singularity;Singularity;Singularity;Singularity;Singularidad;Singularity;Singularity;특이점;Singularity;Singularidade;Singularity;能量異點
Abil/Name/AlarakStructureOvercharge;Structure Overcharge;Structure Overcharge;Structure Overcharge;Structure Overcharge;Sobrecarga de estructura;Structure Overcharge;Structure Overcharge;구조물 과충전;Structure Overcharge;Sobrecarga de Estrutura;建筑超载;建築超載
Abil/Name/AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;AlarakZealotFrenziedOverload;亞拉瑞克狂戰士狂怒超載
Abil/Name/Alarm;Alarm;Alarm;Alarm;Alarm;Alarma;Alarm;Alarm;경보;Alarm;Alarme;警报;警報
Abil/Name/AlarmBotLaser;Alarm Bot Laser;Alarm Bot Laser;Alarm Bot Laser;Alarm Bot Laser;Robot alarma - Láser;Alarm Bot Laser;Alarm Bot Laser;경보 로봇 레이저;Alarm Bot Laser;Laser do Alarme-robô;Alarm Bot Laser;警報機器人雷射
Abil/Name/AmonCrystalDematerialize;Dematerialize;Dematerialize;Dematerialize;Dematerialize;Desmaterialización;Dematerialize;Dematerialize;비물질화;Dematerialize;Desmaterializar;Dematerialize;消除
Abil/Name/AmonHostDeathBeam;Death Beam;Death Beam;Death Beam;Death Beam;Rayo mortal;Death Beam;Death Beam;죽음의 광선;Death Beam;Raio da Morte;死亡光束;死亡射線
Abil/Name/AmonHostDeathBeamCancel;Death Beam Cancel;Death Beam Cancel;Death Beam Cancel;Death Beam Cancel;Rayo mortal - Cancelar;Death Beam Cancel;Death Beam Cancel;죽음의 광선 취소;Death Beam Cancel;Cancelar Raio da Morte;Death Beam Cancel;取消死亡射線
Abil/Name/AmonHostDeathBlast;Death Blast;Death Blast;Death Blast;Death Blast;Explosión mortal;Death Blast;Death Blast;죽음의 폭발;Death Blast;Impacto da Morte;死亡冲击;死亡震爆
Abil/Name/AmonTentacleA;Void Laser;Void Laser;Void Laser;Void Laser;Láser del Vacío;Void Laser;Void Laser;공허 레이저;Void Laser;Laser do Vazio;Void Laser;虛空雷射
Abil/Name/AmonTentacleB;Omnia Burst;Omnia Burst;Omnia Burst;Omnia Burst;Omniráfaga;Omnia Burst;Omnia Burst;다중 폭발;Omnia Burst;Explosão Omnia;Omnia Burst;歐姆尼亞爆擊
Abil/Name/AmonTentacleC;Anima Shower;Anima Shower;Anima Shower;Anima Shower;Tempestad espiritual;Anima Shower;Anima Shower;영혼 소나기;Anima Shower;Chuva de Ânima;Anima Shower;阿尼瑪之雨
Abil/Name/AmonTentacleCHeal;Anima Beam;Anima Beam;Anima Beam;Anima Beam;Rayo espiritual;Anima Beam;Anima Beam;영혼 광선;Anima Beam;Feixe de Ânima;Anima Beam;阿尼瑪光束
Abil/Name/AmonTentacleDGroundSlam;World Cleave;World Cleave;World Cleave;World Cleave;Hendidura global;World Cleave;World Cleave;세계 절단;World Cleave;Corte Planetário;World Cleave;星球裂擊
Abil/Name/AntiGravitonBurst;Anti-Graviton Burst;Anti-Graviton Burst;Anti-Graviton Burst;Anti-Graviton Burst;Ráfaga antigravitón;Anti-Graviton Burst;Anti-Graviton Burst;반중력자 폭발;Anti-Graviton Burst;Explosão Antigráviton;Anti-Graviton Burst;反重力轟擊
Abil/Name/Apocalypse;Apocalypse;Апокалипсис;Apokalypse;Apocalipsis;Apocalipsis;Apocalypse;Apocalisse;파멸;Apokalipsa;Apocalipse;天启;毀天滅地
Abil/Name/ArbiterMPStasisField;Stasis Field;Stasis Field;Stasis Field;Stasis Field;Campo de estasis;Stasis Field;Stasis Field;정지장;Stasis Field;Campo de Estase;Stasis Field;靜滯力場
Abil/Name/ArcNodeSpawnShadowOfTheVoidBanshee;Spawn Shade (Banshee);Spawn Shade (Banshee);Spawn Shade (Banshee);Spawn Shade (Banshee);Aparición sombría (Banshee);Spawn Shade (Banshee);Spawn Shade (Banshee);그림자 생성 (밴시);Spawn Shade (Banshee);Gerar Vulto (Vudu);Spawn Shade (Banshee);產生幽影（女妖轟炸機）
Abil/Name/ArcNodeSpawnShadowOfTheVoidBattlecruiser;Spawn Shade (Battlecruiser);Spawn Shade (Battlecruiser);Spawn Shade (Battlecruiser);Spawn Shade (Battlecruiser);Aparición sombría (Crucero de batalla);Spawn Shade (Battlecruiser);Spawn Shade (Battlecruiser);그림자 생성 (전투순양함);Spawn Shade (Battlecruiser);Gerar Vulto (Cruzador de batalha);Spawn Shade (Battlecruiser);產生幽影（戰巡艦）
Abil/Name/ArcNodeSpawnShadowOfTheVoidColossus;Spawn Shade (Colossus);Spawn Shade (Colossus);Spawn Shade (Colossus);Spawn Shade (Colossus);Aparición sombría (Coloso);Spawn Shade (Colossus);Spawn Shade (Colossus);그림자 생성 (거신);Spawn Shade (Colossus);Gerar Vulto (Colosso);Spawn Shade (Colossus);產生幽影（巨像）
Abil/Name/ArcNodeSpawnShadowOfTheVoidGhost;Spawn Shade (Ghost);Spawn Shade (Ghost);Spawn Shade (Ghost);Spawn Shade (Ghost);Aparición sombría (Fantasma);Spawn Shade (Ghost);Spawn Shade (Ghost);그림자 생성 (유령);Spawn Shade (Ghost);Gerar Vulto (Fantasma);Spawn Shade (Ghost);產生幽影（幽靈特務）
Abil/Name/ArcNodeSpawnShadowOfTheVoidHydralisk;Spawn Shade (Hydralisk);Spawn Shade (Hydralisk);Spawn Shade (Hydralisk);Spawn Shade (Hydralisk);Aparición sombría (Hidralisco);Spawn Shade (Hydralisk);Spawn Shade (Hydralisk);그림자 생성 (히드라리스크);Spawn Shade (Hydralisk);Gerar Vulto (Hidralisca);Spawn Shade (Hydralisk);產生幽影（刺蛇）
Abil/Name/ArcNodeSpawnShadowOfTheVoidMarine;Spawn Shade (Marine);Spawn Shade (Marine);Spawn Shade (Marine);Spawn Shade (Marine);Aparición sombría (Marine);Spawn Shade (Marine);Spawn Shade (Marine);그림자 생성 (해병);Spawn Shade (Marine);Gerar Vulto (Soldado);Spawn Shade (Marine);產生幽影（陸戰隊）
